"Timestamp","Platform","Pizzas [1]","Pizzas [2]","Pizzas [3]","Extra Topping","Preparation Time (Minutes)"
"2023/06/27 6:19:46 pm EEST","Mr Delivery","Champ","","","","10"
"2023/06/27 6:20:46 pm EEST","Uber","Pig n Paradise","Pig n Paradise","","","15"
"2023/06/27 6:38:35 pm EEST","Uber","Margie","","","","9"
"2023/06/27 6:41:41 pm EEST","Window","Margie","Margie","","","10"
"2023/06/27 6:47:22 pm EEST","Uber","Mish-Mash;Feisty Italian","","","","15"
"2023/06/27 6:47:50 pm EEST","Uber","Mish-Mash","","","","10"
"2023/06/27 7:17:33 pm EEST","Mr Delivery","Margie;Champ;Mish-Mash;Spud","","","","15"
"2023/06/27 7:18:03 pm EEST","Uber","Feisty Italian;Sausage Party","","","","10"
"2023/06/27 7:18:40 pm EEST","Window","Margie","","","","10"
"2023/06/27 7:19:40 pm EEST","Uber","Champ","Champ","","","15"
"2023/06/27 7:51:27 pm EEST","Uber","Mish-Mash;Mushroom Cloud;Poppa's","","","","15"
"2023/06/27 8:00:36 pm EEST","Uber","Sausage Party;Spud","","","","15"
"2023/06/27 8:13:17 pm EEST","Uber","Margie","","","","10"
"2023/06/27 8:19:22 pm EEST","Uber","Margie","","","","12"
"2023/06/27 8:47:07 pm EEST","Uber","Vegan Harvest","","","","10"
"2023/06/27 8:59:09 pm EEST","Uber","Margie;Mushroom Cloud","","","","15"
"2023/06/27 8:59:51 pm EEST","Uber","Vegan Harvest;Feisty Italian","","","",""
"2023/06/27 9:32:29 pm EEST","Uber","Champ;Pig n Paradise","","","","5"
"2023/06/28 1:23:43 pm EEST","Uber","Margie;Champ","","","","18"
"2023/06/28 1:39:25 pm EEST","Mr Delivery","Margie;Spud","","","","16"
"2023/06/28 4:33:39 pm EEST","Window","Pig n Paradise","","","","10"
"2023/06/28 6:12:03 pm EEST","Window","Margie","Margie","","",""
"2023/06/28 6:12:50 pm EEST","Uber","Mushroom Cloud","Mushroom Cloud","","",""
"2023/06/28 6:39:53 pm EEST","Uber","Margie;Mushroom Cloud","","","","15"
"2023/06/28 7:45:04 pm EEST","Window","Pig n Paradise","","","","15"
"2023/06/28 8:06:36 pm EEST","Uber","Champ;Pig n Paradise","","","","15"
"2023/06/28 8:34:46 pm EEST","Uber","Margie","","","","13"
"2023/06/28 9:29:58 pm EEST","Uber","Champ;Mish-Mash;Spud","","","","9"
"2023/06/29 1:05:44 pm EEST","Window","Margie","","","","10"
"2023/06/29 1:24:07 pm EEST","Window","Margie","Margie","Margie","",""
"2023/06/29 3:24:23 pm EEST","Window","Pig n Paradise","","","","10"
"2023/06/29 5:25:19 pm EEST","Uber","Margie;Champ","Margie","Margie","","20"
"2023/06/29 5:27:29 pm EEST","Uber","Mushroom Cloud;Spud","","","","23"
"2023/06/29 5:28:46 pm EEST","Window","Margie","","","Mushroom","10"
"2023/06/29 5:31:33 pm EEST","Uber","Mushroom Cloud;Spud","","","Spud no onions, no chilly","14"
"2023/06/29 5:43:10 pm EEST","Uber","Mushroom Cloud","","","","19"
"2023/06/29 5:51:41 pm EEST","Window","Pig n Paradise;Vegan Harvest","","","","10"
"2023/06/29 5:53:01 pm EEST","Uber","Margie","","","","1"
