"Timestamp","Platform","Pizzas [1]","Pizzas [2]","Pizzas [3]","Extra Topping","Preparation Time (Minutes)"
"2023/07/21 7:13:19 pm EEST","Uber","Champ;Feisty Italian","","","","20"
"2023/07/21 7:16:56 pm EEST","Mr Delivery","Vegan Harvest;Spud","","","Moz on Vegan","20"
"2023/07/21 7:17:52 pm EEST","Uber","Margie;Champ;Pig n Paradise;Mish-Mash;Sausage Party","","","","23"
"2023/07/21 7:18:57 pm EEST","Window","Margie;Pig n Paradise;Mish-Mash","","","","15"
"2023/07/21 7:21:18 pm EEST","Uber","Champ","","","","30"
"2023/07/21 7:21:42 pm EEST","Uber","Margie;Champ","","","","17"
"2023/07/21 7:22:11 pm EEST","Uber","Vegan Harvest;Mushroom Cloud","","","","17"
"2023/07/21 7:23:53 pm EEST","Mr Delivery","Mish-Mash","","","","17"
"2023/07/21 7:24:33 pm EEST","Mr Delivery","Pig n Paradise","","","","14"
"2023/07/21 7:30:56 pm EEST","Uber","Champ;Spud","","","","30"
"2023/07/21 7:31:43 pm EEST","Uber","Champ;Pig n Paradise","","","No spring onion","28"
"2023/07/21 7:38:32 pm EEST","Uber","Margie;Pig n Paradise","","","","17"
"2023/07/21 7:45:33 pm EEST","Uber","Margie;Champ;Pig n Paradise;Mushroom Cloud;Sausage Party","","","","25"
"2023/07/21 7:50:58 pm EEST","Uber","Mushroom Cloud","","","","22"
"2023/07/21 7:56:02 pm EEST","Uber","Margie","","","","22"
"2023/07/21 8:10:01 pm EEST","Window","Margie","","","","14"
"2023/07/21 8:10:38 pm EEST","Window","Champ","","","","15"
"2023/07/21 8:12:21 pm EEST","Window","Margie;Champ;Pig n Paradise","","","Caramelised onion, no spring onion","15"
"2023/07/21 8:14:00 pm EEST","Uber","Champ;Spud","","","","19"
"2023/07/21 8:21:03 pm EEST","Window","Mish-Mash","","","","15"
"2023/07/21 8:22:03 pm EEST","Call","Margie;Pig n Paradise","","","","17"
"2023/07/21 8:32:02 pm EEST","Window","Champ;Pig n Paradise","Pig n Paradise","","","10"
"2023/07/21 8:32:47 pm EEST","Uber","Feisty Italian","","","","18"
"2023/07/21 8:33:33 pm EEST","Mr Delivery","Champ;Mish-Mash","","","","17"
"2023/07/21 8:34:26 pm EEST","Window","Pig n Paradise;Mushroom Cloud","","","","20"
"2023/07/21 8:35:38 pm EEST","Uber","Champ","Champ","Champ","Champ","22"
"2023/07/21 8:43:18 pm EEST","Uber","Margie;Mish-Mash","","","","20"
"2023/07/21 8:45:14 pm EEST","Mr Delivery","Vegan Harvest;Spud","","","Moz & butternut on spud, moz on vegan","5"
"2023/07/22 1:53:39 pm EEST","Uber","Margie;Champ;Spud","","","","10"
"2023/07/22 2:01:12 pm EEST","Uber","Margie;Champ;Mish-Mash","","","","10"
"2023/07/22 2:17:54 pm EEST","Uber","Margie;Champ","","","","10"
"2023/07/22 3:33:41 pm EEST","Uber","Champ","","","","5"
"2023/07/22 3:33:59 pm EEST","Uber","Pig n Paradise","","","","10"
"2023/07/22 3:35:35 pm EEST","Uber","Pig n Paradise","","","","16"
"2023/07/22 4:15:31 pm EEST","Window","Champ","","","Garlic","7"
"2023/07/22 4:41:57 pm EEST","Uber","Margie;Champ;Mushroom Cloud;Feisty Italian;Zesty Zucchini","","","","20"
"2023/07/22 5:56:02 pm EEST","Uber","Margie;Champ;Mish-Mash","","","","21"
"2023/07/22 6:06:27 pm EEST","Window","Margie;Mushroom Cloud","","","","10"
"2023/07/22 6:15:14 pm EEST","Window","Champ","","","","6"
"2023/07/22 6:26:17 pm EEST","Uber","Mish-Mash","","","","10"
"2023/07/22 6:26:54 pm EEST","Uber","Vegan Harvest","","","","10"
"2023/07/22 6:27:14 pm EEST","Window","Margie;Spud","","","","7"
"2023/07/22 6:32:19 pm EEST","Uber","Champ;Pig n Paradise;Zesty Zucchini;Spud","","","","20"
"2023/07/22 6:45:12 pm EEST","Window","Pig n Paradise;Feisty Italian;Spud","","","No garlic on Ndunja","15"
"2023/07/22 6:45:32 pm EEST","Uber","Champ","","","","17"
"2023/07/22 6:46:45 pm EEST","Uber","Champ","","","","13"
"2023/07/22 7:00:28 pm EEST","Mr Delivery","Pig n Paradise;Mushroom Cloud","","","","15"
"2023/07/22 7:12:05 pm EEST","Window","Margie","","","","7"
"2023/07/22 7:20:15 pm EEST","Mr Delivery","Feisty Italian;Sausage Party;Poppa's","Sausage Party","","","20"
"2023/07/22 7:27:46 pm EEST","Window","Margie;Champ;Pig n Paradise;Mushroom Cloud","","","","15"
"2023/07/22 7:31:50 pm EEST","Uber","Champ","","","","16"
"2023/07/22 7:32:23 pm EEST","Mr Delivery","Pig n Paradise;Poppa's","","","","20"
"2023/07/22 7:37:03 pm EEST","Window","Pig n Paradise","","","","15"
"2023/07/22 7:41:10 pm EEST","Uber","Champ;Mish-Mash","","","","20"
"2023/07/22 7:58:23 pm EEST","Uber","Champ","","","","17"
"2023/07/22 8:04:21 pm EEST","Window","Margie;Champ;Pig n Paradise;Mish-Mash","","","","10"
"2023/07/22 8:04:44 pm EEST","Uber","Margie;Feisty Italian","","","","14"
"2023/07/22 8:05:14 pm EEST","Uber","Poppa's","","","","5"
"2023/07/22 8:11:13 pm EEST","Uber","Mushroom Cloud","","","","17"
"2023/07/22 8:26:13 pm EEST","Uber","Champ","","","","6"
"2023/07/22 8:28:21 pm EEST","Uber","Champ;Mish-Mash;Sausage Party","","","Spring onion aside ","17"
"2023/07/22 8:33:37 pm EEST","Uber","Champ;Pig n Paradise;Mish-Mash","","","","15"
"2023/07/22 8:39:11 pm EEST","Uber","Champ","","","","12"
"2023/07/22 8:48:23 pm EEST","Uber","Margie;Champ","","","","15"
"2023/07/23 2:10:53 pm EEST","Uber","Margie;Champ","","","","10"
"2023/07/23 2:25:02 pm EEST","Uber","Champ;Pig n Paradise","","","Pig no pineapple champ Little spring onion","10"
"2023/07/23 2:42:45 pm EEST","Uber","Champ","","","","10 "
"2023/07/23 3:00:29 pm EEST","Window","Margie","","","","10"
"2023/07/23 3:24:55 pm EEST","Window","Pig n Paradise","","","","5"
"2023/07/23 3:26:08 pm EEST","Uber","Pig n Paradise","","","","10"
"2023/07/23 3:41:14 pm EEST","Window","Pig n Paradise","","","","10"
"2023/07/23 3:41:31 pm EEST","Window","Pig n Paradise","","","","10"
"2023/07/23 3:58:43 pm EEST","Uber","Margie","Margie","","","10"
"2023/07/23 4:11:38 pm EEST","","Champ","","","","10"
"2023/07/23 4:26:44 pm EEST","Uber","Champ","","","","10"
"2023/07/23 5:03:23 pm EEST","Uber","Pig n Paradise","","","","10"
"2023/07/23 5:25:18 pm EEST","Uber","Champ","","","","10"
"2023/07/23 5:25:44 pm EEST","Mr Delivery","Mish-Mash","","","","10"
"2023/07/23 5:36:25 pm EEST","Uber","Champ;Pig n Paradise;Mish-Mash","","","Add extra garlic and chilli on both ",""
"2023/07/23 6:23:26 pm EEST","Uber","Champ;Mish-Mash","","","","10"
"2023/07/23 6:43:21 pm EEST","Uber","Margie;Vegan Harvest;Spud","Margie","","","10"
"2023/07/23 6:54:34 pm EEST","Uber","Mish-Mash;Sausage Party","","","","10"
"2023/07/23 6:54:55 pm EEST","Uber","Pig n Paradise","","","","10"
"2023/07/23 7:06:43 pm EEST","Uber","Mish-Mash","","","","10"
"2023/07/23 7:07:00 pm EEST","Uber","Margie;Champ","","","","10"
"2023/07/23 7:08:38 pm EEST","Uber","Champ;Pig n Paradise","","","","10"
"2023/07/23 7:08:55 pm EEST","Uber","Margie","","","","10"
"2023/07/23 7:09:40 pm EEST","Uber","Champ;Mish-Mash;Mushroom Cloud","","","","10"
"2023/07/23 7:18:16 pm EEST","Window","Margie","Margie","","",""
"2023/07/23 7:38:40 pm EEST","Uber","Margie","","","",""
"2023/07/23 7:41:25 pm EEST","Uber","Champ","","","","10"
"2023/07/23 7:59:11 pm EEST","Mr Delivery","Champ;Pig n Paradise","","","",""
"2023/07/23 8:14:19 pm EEST","Window","Champ;Mish-Mash","","","","10"
"2023/07/23 8:14:59 pm EEST","Window","Margie","","","","10"
"2023/07/23 8:17:03 pm EEST","Window","Margie;Pig n Paradise;Mushroom Cloud","Margie;Pig n Paradise","Margie","Extra 1 more margie","5"
"2023/07/23 8:19:07 pm EEST","Window","Margie;Vegan Harvest","Margie;Vegan Harvest","Margie","2 more    margie","15"
"2023/07/23 8:20:22 pm EEST","Mr Delivery","Champ;Pig n Paradise","","","","10"
"2023/07/23 8:23:26 pm EEST","Mr Delivery","Margie","","","","10"
"2023/07/23 8:33:14 pm EEST","Uber","Champ","","","","10"
"2023/07/23 8:33:44 pm EEST","Uber","Pig n Paradise","","","","10"
"2023/07/25 1:41:03 pm EEST","Window","Margie","","","","25"
"2023/07/25 2:13:12 pm EEST","Window","Champ;Pig n Paradise","","","",""
"2023/07/25 2:13:42 pm EEST","Window","Mish-Mash","","","","5"
"2023/07/25 4:29:36 pm EEST","Uber","Margie","","","","5"
"2023/07/25 5:42:48 pm EEST","Uber","Spud","","","For 6:15pm","18"
"2023/07/25 6:02:13 pm EEST","Window","Pig n Paradise","Pig n Paradise","","","120"
"2023/07/25 6:12:56 pm EEST","Window","Pig n Paradise","","","","10"
"2023/07/25 6:16:57 pm EEST","Uber","Spud","","","","10"
"2023/07/25 6:17:20 pm EEST","Window","Mish-Mash","","","","10"
"2023/07/25 6:24:47 pm EEST","Andrew\Photo","Vegan Harvest;Spud","","","","1"
"2023/07/25 6:43:01 pm EEST","Uber","Margie;Champ","","","","10"
"2023/07/25 7:05:38 pm EEST","Uber","Margie;Mushroom Cloud","","","","10"
"2023/07/25 7:15:46 pm EEST","Mr Delivery","Margie","","","","5"
"2023/07/25 7:18:21 pm EEST","Uber","Margie;Champ;Pig n Paradise","","","","10"
"2023/07/25 8:09:17 pm EEST","Uber","Margie;Pig n Paradise;Spud","","","","10"
"2023/07/25 8:11:52 pm EEST","Uber","Champ;Pig n Paradise;Mish-Mash;Mushroom Cloud","","","","17"
"2023/07/25 8:23:06 pm EEST","Window","Margie;Mushroom Cloud","Margie","","","5"
"2023/07/25 8:42:01 pm EEST","Uber","Champ;Pig n Paradise","","","","10"
"2023/07/25 8:51:33 pm EEST","Mr Delivery","","","","Extra fresh mozzarella..onion .fig jam ",""
"2023/07/26 2:53:28 pm EEST","Uber","Margie;Champ;Vegan Harvest","Margie;Champ;Vegan Harvest","","","5"
"2023/07/26 2:53:47 pm EEST","Window","Pig n Paradise","","","","7"
"2023/07/26 2:55:41 pm EEST","Window","","","","3 cheese add tomato sandwich",""
"2023/07/26 3:10:16 pm EEST","Mr Delivery","Champ","","","","10"
"2023/07/26 3:52:13 pm EEST","Window","Margie","Margie","","","5"
"2023/07/26 4:19:01 pm EEST","Uber","Mushroom Cloud;Spud","","",""," 10"
"2023/07/26 5:08:33 pm EEST","Window","Pig n Paradise","","","","10"
"2023/07/26 5:38:07 pm EEST","Uber","Champ","","","","19"
"2023/07/26 5:41:43 pm EEST","Uber","Spud","","","No onions, no chilli...but crispy","18"
"2023/07/26 5:42:36 pm EEST","Uber","Mushroom Cloud","","","No onions, no chilli but crispy","17"
"2023/07/26 5:51:35 pm EEST","Uber","Vegan Harvest","","","","21"
"2023/07/26 6:22:19 pm EEST","Uber","Champ;Poppa's","","","","20"
"2023/07/26 6:29:32 pm EEST","Uber","Champ","","","","16"
"2023/07/26 6:30:09 pm EEST","Uber","Champ","","","","18"
"2023/07/26 6:35:38 pm EEST","Uber","Pig n Paradise","","","","21"
"2023/07/26 6:38:19 pm EEST","Uber","Pig n Paradise;Mushroom Cloud","","","No garlic","20"
"2023/07/26 6:43:32 pm EEST","Uber","Pig n Paradise;Zesty Zucchini","","","","10"
"2023/07/26 7:11:19 pm EEST","Uber","Margie;Champ","","","","20"
"2023/07/26 7:29:28 pm EEST","Uber","Champ","Champ","","","18"
"2023/07/26 7:41:28 pm EEST","Uber","Champ;Mish-Mash","","","","20"
"2023/07/26 8:36:16 pm EEST","Uber","Margie;Champ","","","","18"
"2023/07/26 8:56:46 pm EEST","Mr Delivery","Spud;Build Your Own","","","Spud-ham, BYO goat cheese,caramilised onion & butternut sage","13"
"2023/07/26 8:57:06 pm EEST","Uber","Mushroom Cloud","","","","12"
"2023/07/26 9:06:28 pm EEST","Uber","Champ;Mushroom Cloud","","","","19"
"2023/07/27 3:22:06 pm EEST","Window","Margie","","","","5"
"2023/07/27 3:49:10 pm EEST","Uber","Champ","","","",""
"2023/07/27 3:49:57 pm EEST","Uber","Vegan Harvest;Mushroom Cloud","","","","10"
"2023/07/27 5:12:31 pm EEST","Window","Champ","","","",""
"2023/07/27 6:09:20 pm EEST","Window","Margie;Pig n Paradise","","","","10"
"2023/07/27 6:20:10 pm EEST","Window","Margie;Champ;Pig n Paradise;Vegan Harvest","","","","10"
"2023/07/27 6:33:23 pm EEST","Uber","Champ;Pig n Paradise","","","","24"
"2023/07/27 6:35:07 pm EEST","Uber","Champ;Mushroom Cloud","","","","19"
"2023/07/27 6:36:54 pm EEST","Mr Delivery","Pig n Paradise;Sausage Party","","","","30"
"2023/07/27 6:37:16 pm EEST","Uber","Champ;Pig n Paradise","","","","20"
"2023/07/27 6:44:59 pm EEST","Uber","Margie;Champ","","","","22"
"2023/07/27 6:52:31 pm EEST","Uber","Champ;Poppa's","","","","20"
"2023/07/27 6:57:22 pm EEST","Uber","Champ;Pig n Paradise;Sausage Party","Champ","","","22"
"2023/07/27 7:31:41 pm EEST","Uber","Champ;Pig n Paradise;Sausage Party","","","","22"
"2023/07/27 7:39:26 pm EEST","Uber","Pig n Paradise","","","","17"
"2023/07/27 8:06:33 pm EEST","Uber","Pig n Paradise","","","","16"
"2023/07/27 8:48:33 pm EEST","Uber","Margie;Pig n Paradise","","","","18"
"2023/07/27 8:51:32 pm EEST","Uber","Champ","","","","16"
"2023/07/27 9:27:46 pm EEST","Uber","Margie;Pig n Paradise","","","","18"
"2023/07/27 9:28:20 pm EEST","Window","Zesty Zucchini;Spud;Poppa's","","","","10"
"2023/07/28 1:20:46 pm EEST","Uber","Margie","","","","10"
"2023/07/28 2:26:14 pm EEST","Uber","Margie","","","","15"
"2023/07/28 2:59:20 pm EEST","Uber","Margie;Champ;Mushroom Cloud;Sausage Party","","","","5"
"2023/07/28 3:04:16 pm EEST","Window","Margie","","","Extra goats cheese and rocket","10"
"2023/07/28 4:04:32 pm EEST","Window","Margie","Margie","","","7"
"2023/07/28 4:30:28 pm EEST","Uber","Champ;Pig n Paradise","","","","10"
"2023/07/28 4:30:53 pm EEST","Mr Delivery","Pig n Paradise;Mish-Mash","","","","10"
"2023/07/28 4:49:13 pm EEST","Uber","Mish-Mash","","","","10"
"2023/07/28 5:14:36 pm EEST","Window","Margie","Margie","","","10"
"2023/07/28 5:18:27 pm EEST","Uber","Pig n Paradise;Vegan Harvest;Mish-Mash","","","Be  ready  by 5:30pm ","20"
"2023/07/28 5:22:44 pm EEST","Uber","","","Margie;Champ","","5"
"2023/07/28 5:28:06 pm EEST","Uber","Champ","","","","18"
"2023/07/28 6:20:13 pm EEST","Uber","Margie;Champ;Spud","","","","10"
"2023/07/28 6:22:03 pm EEST","Window","Champ;Mushroom Cloud","","","","5"
"2023/07/28 6:24:20 pm EEST","Uber","Champ","","","","21"
"2023/07/28 6:35:13 pm EEST","Uber","Pig n Paradise;Mish-Mash","","","","20"
"2023/07/28 6:38:10 pm EEST","Window","Margie;Pig n Paradise","","","","10"
"2023/07/28 6:40:27 pm EEST","Uber","Margie;Champ;Pig n Paradise;Mish-Mash","","","No goats cheese pls","20"
"2023/07/28 6:41:07 pm EEST","Uber","Margie","","","No basil please","21"
"2023/07/28 6:44:03 pm EEST","Window","Champ;Pig n Paradise;Sausage Party;Zesty Zucchini","","","","20"
"2023/07/28 6:47:30 pm EEST","Window","Champ;Pig n Paradise;Mish-Mash;Spud","Pig n Paradise","","","30"
"2023/07/28 6:51:02 pm EEST","","Pig n Paradise;Mish-Mash;Spud","Champ;Pig n Paradise","","","30"
"2023/07/28 6:52:34 pm EEST","Uber","Champ;Pig n Paradise","","","","32"
"2023/07/28 6:56:40 pm EEST","Window","Margie;Champ;Pig n Paradise","","","","30"
"2023/07/28 6:57:23 pm EEST","Window","Champ;Pig n Paradise;Sausage Party;Zesty Zucchini","","","","28"
"2023/07/28 7:01:17 pm EEST","Mr Delivery","Pig n Paradise;Mish-Mash","","","","17"
"2023/07/28 7:22:09 pm EEST","Uber","Margie;Mish-Mash;Spud","","","","34"
"2023/07/28 7:23:04 pm EEST","Uber","Champ","","","","31"
"2023/07/28 7:25:04 pm EEST","Uber","Champ;Pig n Paradise;Mish-Mash","","","","37"
"2023/07/28 7:29:03 pm EEST","Mr Delivery","Champ;Mish-Mash","","","","34"
"2023/07/28 7:30:13 pm EEST","Mr Delivery","Vegan Harvest;Spud","","","","36"
"2023/07/28 7:43:54 pm EEST","Uber","Champ;Mushroom Cloud","","","","32"
"2023/07/28 7:44:37 pm EEST","Uber","Pig n Paradise;Mish-Mash","","","Crispy","34"
"2023/07/28 7:53:29 pm EEST","Window","Champ;Vegan Harvest","","","Half champ, half pig","30"
"2023/07/28 7:53:51 pm EEST","Window","Margie;Champ","","","","30"
"2023/07/28 7:56:08 pm EEST","Uber","Pig n Paradise;Mish-Mash;Mushroom Cloud","Pig n Paradise","","","30"
"2023/07/28 8:29:55 pm EEST","Mr Delivery","Margie;Mushroom Cloud","","","","25"
"2023/07/28 9:06:58 pm EEST","Window","Margie;Champ;Pig n Paradise;Mish-Mash","Margie","","","5"
"2023/07/28 9:08:43 pm EEST","Window","Margie;Champ","Margie","","","5"
"2023/07/28 9:11:12 pm EEST","Uber","Mish-Mash","","","","5"
"2023/07/29 1:06:17 pm EEST","Uber","Margie;Champ;Pig n Paradise","","","","23"
"2023/07/29 1:08:10 pm EEST","Uber","Mish-Mash","","","4E","20"
"2023/07/29 1:11:08 pm EEST","Window","Pig n Paradise","","","","10"
"2023/07/29 1:11:55 pm EEST","Window","Mish-Mash;Poppa's","","","","10"
"2023/07/29 1:13:56 pm EEST","Uber","Margie;Mish-Mash","","","","24"
"2023/07/29 1:30:19 pm EEST","Uber","Champ","","","71","20"
"2023/07/29 2:16:42 pm EEST","Uber","Champ;Mushroom Cloud","","","","10"
"2023/07/29 2:26:29 pm EEST","Mr Delivery","Champ;Poppa's","","","","15"
"2023/07/29 3:18:04 pm EEST","Window","Vegan Harvest","","","","5"
"2023/07/29 3:18:19 pm EEST","Window","Pig n Paradise","","","","7"
"2023/07/29 3:46:03 pm EEST","Window","Champ","","","",""
"2023/07/29 3:49:30 pm EEST","Uber","Champ","","","","15"
"2023/07/29 4:10:43 pm EEST","Window","Mushroom Cloud","","","Sunflower seeds on half","5"
"2023/07/29 4:23:30 pm EEST","Uber","Mish-Mash;Feisty Italian","","","","15"
"2023/07/29 4:31:38 pm EEST","Window","Champ","","","","5"
"2023/07/29 5:11:12 pm EEST","Uber","Margie;Champ;Pig n Paradise","","","","20"
"2023/07/29 5:15:07 pm EEST","Uber","Champ;Pig n Paradise","","","","18"
"2023/07/29 5:24:01 pm EEST","Uber","Champ;Mish-Mash","","","","18"
"2023/07/29 5:37:10 pm EEST","Window","Mushroom Cloud","","","Add bacon, no chilli oil","8"
"2023/07/29 5:46:40 pm EEST","Uber","Pig n Paradise","","","","18"
"2023/07/29 5:51:40 pm EEST","Uber","Champ","","","No onion","18"
"2023/07/29 5:58:24 pm EEST","Uber","Margie;Champ","","","","17"
"2023/07/29 6:02:37 pm EEST","Mr Delivery","Champ","","","","16"
"2023/07/29 6:18:51 pm EEST","Uber","Champ","","","","15"
"2023/07/29 6:32:26 pm EEST","Uber","Pig n Paradise","Pig n Paradise","","","14"
"2023/07/29 6:41:36 pm EEST","Uber","Margie;Pig n Paradise","","","","24"
"2023/07/29 6:49:01 pm EEST","Uber","Champ","","","","19"
"2023/07/29 6:53:47 pm EEST","Mr Delivery","Champ","","","","16"
"2023/07/29 7:04:03 pm EEST","Uber","Champ;Pig n Paradise","Champ","","","24"
"2023/07/29 7:08:09 pm EEST","Window","Pig n Paradise;Mushroom Cloud;Spud","","","","8"
"2023/07/29 7:09:37 pm EEST","Uber","Champ;Mish-Mash","","","","19"
"2023/07/29 7:17:08 pm EEST","Window","Margie","","","","5"
"2023/07/29 7:21:38 pm EEST","Uber","Pig n Paradise;Sausage Party","","","","24"
"2023/07/29 7:25:14 pm EEST","Uber","Champ;Pig n Paradise","","","","17"
"2023/07/29 7:42:28 pm EEST","Uber","Margie;Champ;Mish-Mash","","","","19"
"2023/07/29 8:00:19 pm EEST","Uber","Champ","","","","17"
"2023/07/29 8:16:59 pm EEST","Uber","Pig n Paradise;Mushroom Cloud;Feisty Italian","","","","15"
"2023/07/29 8:21:07 pm EEST","Uber","Mish-Mash","","","","19"
"2023/07/29 8:24:03 pm EEST","Uber","Mushroom Cloud;Feisty Italian","","","","20"
"2023/07/29 9:02:54 pm EEST","Window","Champ","","","","4"
"2023/07/29 9:03:12 pm EEST","Window","Feisty Italian","","","","5"
"2023/07/29 9:13:31 pm EEST","Uber","Sausage Party","","","","17"
"2023/07/29 9:27:17 pm EEST","Uber","Champ","","","","14"
"2023/07/29 9:30:53 pm EEST","Uber","Margie","","","","15"
"2023/07/30 1:09:03 pm EEST","Uber","Champ;Spud","","","","10"
"2023/07/30 1:22:11 pm EEST","Uber","Margie","","","78","20"
"2023/07/30 1:37:49 pm EEST","Window","Pig n Paradise;Vegan Harvest","","","","4"
"2023/07/30 1:38:23 pm EEST","Uber","Spud","","","","13"
"2023/07/30 1:45:47 pm EEST","Uber","Spud","","","","17"
"2023/07/30 1:51:26 pm EEST","Andrew","Margie","","","Anchovies, olive","1"
"2023/07/30 1:58:53 pm EEST","Uber","Margie","","","","11"
"2023/07/30 2:43:20 pm EEST","Mr Delivery","Margie","","","","7"
"2023/07/30 2:43:41 pm EEST","Uber","Zesty Zucchini","","","","10"
"2023/07/30 4:00:11 pm EEST","Uber","Margie;Champ","","","","7"
"2023/07/30 4:01:09 pm EEST","Uber","Zesty Zucchini;Spud","","","","7"
"2023/07/30 4:01:53 pm EEST","Uber","Sausage Party;Zesty Zucchini","","","",""
"2023/07/30 4:07:59 pm EEST","Window","Margie","","","","5"
"2023/07/30 4:29:23 pm EEST","Mr Delivery","Champ;Sausage Party","","","","9"
"2023/07/30 4:32:52 pm EEST","Uber","Pig n Paradise","Pig n Paradise","","","10"
"2023/07/30 4:33:27 pm EEST","Mr Delivery","Mushroom Cloud","","","","15"
"2023/07/30 4:43:37 pm EEST","Uber","Pig n Paradise","","","","15"
"2023/07/30 5:04:11 pm EEST","Window","Pig n Paradise","Pig n Paradise","","",""
"2023/07/30 5:32:26 pm EEST","Window","Pig n Paradise;Spud","","","","5"
"2023/07/30 5:45:34 pm EEST","Window","Champ;Spud","","","","5"
"2023/07/30 5:46:20 pm EEST","Uber","Margie;Spud","","","","10"
"2023/07/30 5:46:55 pm EEST","Uber","Margie","","","",""
"2023/07/30 6:10:30 pm EEST","","Vegan Harvest;Spud","","","","14"
"2023/07/30 6:22:34 pm EEST","Uber","Margie;Champ;Vegan Harvest;Sausage Party","Margie","","","10"
"2023/07/30 6:22:55 pm EEST","Uber","Mish-Mash;Sausage Party","","","","10"
"2023/07/30 6:28:40 pm EEST","Window","Champ","","","","10"
"2023/07/30 6:32:26 pm EEST","Uber","Margie;Mish-Mash","Margie","Margie","","20"
"2023/07/30 6:50:52 pm EEST","Uber","Champ;Pig n Paradise;Mish-Mash","","","","10"
"2023/07/30 6:51:08 pm EEST","Uber","Margie","","","","10"
"2023/07/30 6:51:36 pm EEST","Uber","Pig n Paradise;Mish-Mash","","","","10"
"2023/07/30 7:10:12 pm EEST","Uber","Pig n Paradise","","","","10"
"2023/07/30 7:25:09 pm EEST","Uber","Champ;Pig n Paradise","","","","10"
"2023/07/30 7:29:21 pm EEST","Window","Margie;Champ","","","",""
"2023/07/30 7:34:41 pm EEST","Window","Champ;Pig n Paradise","","","",""
"2023/07/30 7:38:32 pm EEST","Uber","Champ;Mushroom Cloud","","","","15"
"2023/07/30 7:39:15 pm EEST","Uber","Pig n Paradise;Spud","","","","15"
"2023/07/30 7:39:40 pm EEST","Uber","Champ;Mish-Mash","","","","14"
"2023/07/30 7:47:12 pm EEST","Uber","Mish-Mash","","","","10"
"2023/07/30 7:47:44 pm EEST","Uber","Mish-Mash;Sausage Party","","","","15"
"2023/07/30 8:02:23 pm EEST","Uber","Margie","Margie","Margie","","17"
"2023/07/30 8:02:52 pm EEST","Uber","Mushroom Cloud","","","","15"
"2023/07/30 8:03:47 pm EEST","Uber","Sausage Party;Spud","","","No chilli on spud please ","10"
"2023/07/30 8:17:56 pm EEST","Uber","Margie","","","","10"
"2023/07/30 8:43:41 pm EEST","Uber","Margie;Champ;Mushroom Cloud","","","","15"
"2023/07/30 8:43:57 pm EEST","Uber","Champ","","","","15"
"2023/07/30 8:45:21 pm EEST","Uber","Pig n Paradise","","","","10"
"2023/07/30 8:45:40 pm EEST","Window","Vegan Harvest","","","","5"
"2023/07/30 8:55:18 pm EEST","Uber","Margie;Champ","","","","10"
"2023/08/01 1:39:15 pm EEST","Window","Margie;Pig n Paradise","","","","10"
"2023/08/01 3:35:08 pm EEST","Uber","Pig n Paradise","","","","10"
"2023/08/01 4:04:14 pm EEST","Uber","Champ;Pig n Paradise","","","","11"
"2023/08/01 4:37:01 pm EEST","Uber","Margie","","","","10"
"2023/08/01 4:41:23 pm EEST","Uber","Champ","","","","10"
"2023/08/01 4:51:49 pm EEST","Window","Margie","","","","5"
"2023/08/01 5:01:40 pm EEST","Mr Delivery","Pig n Paradise;Mish-Mash","","","","15"
"2023/08/01 5:14:27 pm EEST","Uber","Pig n Paradise","","","Well done please  thanks you!👍","10"
"2023/08/01 6:12:34 pm EEST","Window","","","","Cheese and tomato sandwich","5"
"2023/08/01 6:38:59 pm EEST","Uber","Margie;Mish-Mash","","","No goat cheese on mish mash","10"
"2023/08/01 6:55:51 pm EEST","Mr Delivery","Champ;Mish-Mash;Sausage Party","","","","17"
"2023/08/01 7:04:49 pm EEST","Uber","Margie;Pig n Paradise;Sausage Party;Zesty Zucchini","","","","17"
"2023/08/01 7:23:22 pm EEST","Uber","Pig n Paradise;Mish-Mash","","","","10"
"2023/08/01 7:36:50 pm EEST","Window","Pig n Paradise","","","","10"
"2023/08/01 8:10:28 pm EEST","Uber","Champ;Pig n Paradise","","","","9"
"2023/08/01 8:11:59 pm EEST","Window","Margie;Pig n Paradise","Pig n Paradise","Pig n Paradise","Extra. 2.   pig in paladise","15"
"2023/08/01 8:20:25 pm EEST","Uber","Mish-Mash","","","","10"
"2023/08/01 8:22:02 pm EEST","Uber","Champ","","","","15"
"2023/08/01 8:39:14 pm EEST","Uber","Pig n Paradise","","","","10"
"2023/08/01 8:49:23 pm EEST","","Margie;Champ;Mish-Mash;Sausage Party","Mish-Mash","","","17"
"2023/08/01 8:49:59 pm EEST","Uber","Margie;Champ","","","No spring onion",""
"2023/08/01 8:50:17 pm EEST","Uber","Margie;Mish-Mash","","","","15"
"2023/08/01 9:32:34 pm EEST","Uber","Margie;Mish-Mash;Sausage Party","","","10",""
"2023/08/01 9:42:12 pm EEST","Uber","Margie;Spud","","","","2"
"2023/08/02 1:41:09 pm EEST","Uber","Champ","","","No spring onion ","10"
"2023/08/02 1:41:36 pm EEST","Uber","Spud","","","","10"
"2023/08/02 3:43:56 pm EEST","Window","Champ;Pig n Paradise","","","","10"
"2023/08/02 5:54:53 pm EEST","Window","Margie","","","","5"
"2023/08/02 5:55:20 pm EEST","Window","Margie;Champ;Mish-Mash;Spud","","","","10"
"2023/08/02 6:09:39 pm EEST","Uber","Champ","","","","10"
